,nmin,minleaf,ntrees,nfeats,avg_accuracy
58,2,1,100,9,0.7215438596491228
59,2,1,100,10,0.7348070175438597
60,2,1,150,1,0.7163508771929824
61,2,1,150,2,0.7189824561403508
62,2,1,150,3,0.7428421052631579
63,2,1,150,4,0.7454736842105264
64,2,1,150,5,0.7161754385964911
65,2,1,150,6,0.7375087719298246
66,2,1,150,7,0.7162807017543861
67,2,1,150,8,0.7215087719298245
68,2,1,150,9,0.7242105263157895
69,2,1,150,10,0.7135087719298245
70,2,1,200,1,0.7163157894736842
71,2,1,200,2,0.7242105263157895
72,2,1,200,3,0.7294736842105263
73,2,1,200,4,0.7429122807017543
74,2,1,200,5,0.7268771929824561
75,2,1,200,6,0.7241754385964912
76,2,1,200,7,0.7348070175438597
77,2,1,200,8,0.7268771929824561
78,2,1,200,9,0.7241754385964911
79,2,1,200,10,0.7348771929824561
80,3,1,10,1,0.6525263157894737
81,3,1,10,2,0.6870526315789474
82,3,1,10,3,0.6657894736842105
83,3,1,10,4,0.6711578947368422
84,3,1,10,5,0.6550877192982456
85,3,1,10,6,0.7215438596491228
86,3,1,10,7,0.7188771929824561
87,3,1,10,8,0.6894035087719299
88,3,1,10,9,0.6606315789473685
89,3,1,10,10,0.7004210526315789
90,3,1,20,1,0.6923508771929825
91,3,1,20,2,0.6977894736842105
92,3,1,20,3,0.6976140350877194
93,3,1,20,4,0.6737894736842105
94,3,1,20,5,0.7137543859649123
95,3,1,20,6,0.7162456140350877
96,3,1,20,7,0.705719298245614
97,3,1,20,8,0.6950877192982456
98,3,1,20,9,0.7215438596491228
99,3,1,20,10,0.7323508771929824
100,3,1,30,1,0.7029824561403509
101,3,1,30,2,0.7134736842105263
102,3,1,30,3,0.697719298245614
103,3,1,30,4,0.7162807017543861
104,3,1,30,5,0.6975789473684211
105,3,1,30,6,0.7003508771929825
106,3,1,30,7,0.7082105263157895
107,3,1,30,8,0.7003859649122807
108,3,1,30,9,0.7243508771929824
109,3,1,30,10,0.7349122807017544
110,3,1,40,1,0.7057894736842105
111,3,1,40,2,0.6949122807017544
112,3,1,40,3,0.6895789473684211
113,3,1,40,4,0.734982456140351
114,3,1,40,5,0.7136491228070175
115,3,1,40,6,0.7295789473684211
116,3,1,40,7,0.7242456140350878
117,3,1,40,8,0.7374736842105263
